name,keeps_birth_date,seasons_moved,goals_moved,clubs_moved,stat_rows,career_rows,honours,transfers
"Lamine Yamal","2007-07-13","2020-2020",1,"Spain",1,0,0,0
"Uche Agbo","1995-12-04","1997-1997",1,"Montpellier",1,1,0,0
"Juan Muñiz","1992-03-14","1995-2000",0,"Numancia / Rayo Vallecano / Sporting Gijon",4,3,0,0
"Jonas Olsson","1983-03-10","1992-1996",0,"Göteborg",3,0,0,0
"Paco Sanz","2004-11-15","1995-1999",0,"Mallorca / Oviedo",2,2,0,0
"João Paulo","1998-05-26","2007-2009",0,"Le Mans / Porto",2,2,0,0
"Roberto Olabe","1996-05-05","1995-1998",0,"Real Sociedad",2,1,0,0
"Iñigo Martínez","1991-05-17","1995-1997",0,"Zaragoza",2,1,0,0
"Alessandro Romano","2006-06-17","1997-1999",0,"Brescia / Hellas Verona",2,2,0,0
"Mario Ruiz","1997-03-03","2009-2009",0,"Racing Santander",2,1,0,0
"Álex García","1994-02-07","2005-2005",0,"Racing Santander",2,1,0,0
"Rafael","1990-07-09","2001-2002",0,"1860 Munich / Porto",2,1,0,0
"Gabriel","1997-12-19","2005-2008",0,"Malaga / Panathinaikos",2,2,0,0
"Nenê","1983-07-28","1995-1997",0,"Racing Santander / Sporting CP",2,2,0,0
"Saúl","1994-11-21","2005-2007",0,"Levante / Malaga",2,2,0,0
"Ángel Rodríguez","1987-04-26","1999-2000",0,"Osasuna / Sevilla",2,2,0,0
"Julio Enciso","2004-01-23","1998-1998",0,"Paraguay",1,0,0,0
"Álvaro Peña","1991-10-24","1994-1994",0,"Bolivia",1,0,0,0
"Álvaro Fernández","1998-04-13","2010-2010",0,"Uruguay",1,0,0,0
"André Almeida","2000-05-30","2014-2014",0,"Portugal",1,0,0,0
"Roberto Scaglione","2010-01-04","2024-2024",0,"Genoa",1,1,0,0
"Ashley Westwood","1990-04-01","1999-1999",0,"Bradford City",1,0,0,0
"Michael Johnson","1988-02-24","2002-2002",0,"Birmingham City",1,0,0,0
"Raúl García","1986-07-11","2000-2000",0,"Oviedo",1,1,0,0
"Juan Domínguez","1990-01-08","2004-2004",0,"Real Sociedad",1,1,0,0
"Javi Guerra","2003-05-13","2006-2006",0,"Valencia",1,1,0,0
"Miguel Marí","1997-06-30","1996-1996",0,"Hércules",1,1,0,0
"Tito","1985-07-11","1999-1999",0,"Numancia",1,1,0,0
"Fali","1993-08-12","2007-2007",0,"Barcelona",1,1,0,0
"Alexander Meyer","1991-04-13","2005-2005",0,"MSV Duisburg",1,1,0,0
"Roger Martínez","2004-04-05","2016-2016",0,"Colombia",1,0,0,0
"Ibrahima Diallo","1999-03-08","2012-2012",0,"Guinea",1,0,0,0
"Fodé Camara","2007-06-16","2015-2015",0,"Guinea",1,0,0,0
"Abdoulaye Camara","2008-09-28","1999-1999",0,"Udinese",1,1,0,0
"Anderson","1988-04-13","2002-2002",0,"Como",1,1,0,0
"Andrés Escobar","1991-05-14","1994-1994",0,"Colombia",1,0,0,0
"Luis Pérez","1995-02-04","2006-2006",0,"Mexico",1,0,0,0
"Thomas Kristensen","2002-01-17","2010-2010",0,"FC Copenhagen",1,1,0,0
"Alex Teixeira","2007-02-25","2010-2010",0,"Shakhtar D.",1,0,0,0
"João Neves","2004-09-27","2018-2018",0,"Benfica",1,5,7,0
"Andrea Conti","1994-03-02","1996-1996",0,"AS Roma",1,1,0,0
