stored_as,restored_to
"Luís Delgado","Luís Manuel Ferreira Delgado"
"Daniele Carri","Daniele Delli Carri"
"Pablo Millán","Pablo Galdames Millán"
"Vicente Vuoso","Vicente Matías Vuoso"
"Pape Diop","Pape Malick Diop"
"José Luque","José Antonio Luque"
"Nicki Nielsen","Nicki Bille Nielsen"
"David Jiménez","David Martín Jiménez"
"Benoît Bris","Benoît Le Bris"
"David Alonso","David Gómez Alonso"
"Pape Diop","Pape Seydou Diop"
"Luis Ramis","Luis Miguel Ramis"
"Kévin Neves","Kévin das Neves"
"Juan Caballero","Juan Carlos Caballero"
"Mustapha Diop","Mustapha Papa Diop"
"Luciano Souza","Luciano de Souza"
"Jorge Sáenz","Jorge Pérez Sáenz"
"José Alberto","José Pedro Alberto"
"Tor Johnsen","Tor Gunnar Johnsen"
"Edson Silva","Edson Luis da Silva"
"Rens Eijden","Rens van Eijden"
"Marco Costanzo","Marco Di Costanzo"
"Juan Lorca","Juan Gonzalo Lorca"
"Carmelo Balboa","Carmelo Manresa i Balboa"
"José Rubio","José Javier Rubio"
"Jeferson Souza","Jeferson Paulo Rodrigues de Souza"
"Fernando Có","Fernando Manuel Có"
"Juan Ángel","Juan Pablo Ángel"
"José Ortiz","José Cortés Ortiz"
"Marco Basten","Marco van Basten"
"Juan Toribio","Juan Antonio López Toribio"
"İsmail Odabaşı","İsmail Haktan Odabaşı"
"John McConnell","John Samuel McConnell"
"Nicki Nielsen","Nicki Bille Nielsen"
"Berthil Avest","Berthil ter Avest"
"Rafael Vázquez","Rafael Martín Vázquez"
"Mattia Bello","Mattia Dal Bello"
"Matt Tissier","Matt Le Tissier"
"Gilberto Pulpito","Gilberto D'Ignazio Pulpito"
"Fernando Ferreira","Fernando de Abreu Ferreira"
"Umberto Core","Umberto Del Core"
"Mame Niang","Mame Alassane Niang"
"Bjørn Bragstad","Bjørn Otto Bragstad"
"João Marques","João Batista Casemiro Marques"
"Marco Vaio","Marco Di Vaio"
"Guillermo Rodríguez","Guillermo Daniel Rodríguez"
"Ion Goikoetxea","Ion Andoni Goikoetxea"
"Marino Alfonso","Marino Bacallado Alfonso"
"Luis Valdéz","Luis Antonio Valdéz"
"Raúl Serrano","Raúl Rodríguez Serrano"
"Abdullah Al-Dosari","Abdullah Jumaan Al-Dosari"
"Amir Sadeghi","Amir Hossein Sadeghi"
"Rubén Cayuela","Rubén Blaya Cayuela"
"José Deus","José Luis Deus"
"Yasser Mosailem","Yasser Al Mosailem"
"Edwin Ankeren","Edwin van Ankeren"
"Leandro Silva","Leandro Almeida Silva"
"Walieldin Pogba","Walieldin Khidir Pogba"
"Rubén Río","Rubén Suárez Del Río"
"David Jiménez","David Martín Jiménez"
"Gonzalo Santos","Gonzalo de los Santos"
"Óscar Mena","Óscar Alcides Mena"
"Diego Santos","Diego López Santos"
"Pablo Aguilar","Pablo César Aguilar"
"Michel Wolf","Michel De Wolf"
"Pape Diop","Pape Malick Diop"
"Antonio Jurado","Antonio Díaz Jurado"
"Birkir Sævarsson","Birkir Már Sævarsson"
"Nouh Abd","Nouh Mohamed El Abd"
"Matheus Nascimento","Matheus Leite Nascimento"
"Raúl Zamora","Raúl Medina Zamora"
"Aleksei Popov","Aleksei Vladislavovich Popov"
"Valentín Garcia","Valentín Aller Garcia"
"Francesc Ortiz","Francesc Xavier Navarro i Ortiz"
"José Muñoz","José Luis Garzón Muñoz"
"Óscar Sanz","Óscar Salamanca Sanz"
"Karim Mourabet","Karim El Mourabet"
"Francisco Jara","Francisco Javier Sánchez Jara"
"Tor Aarøy","Tor Hogne Aarøy"
"David Matilla","David Hernández Matilla"
"Tahar Khalej","Tahar El Khalej"
"Fernando Santiago","Fernando Marcos Santiago"
"Mario Cañego","Mario Romero Cañego"
"Nico Kerckhoven","Nico Van Kerckhoven"
"José Vidigal","José Luís Vidigal"
"Carlos Gonçalves","Carlos Fumo Gonçalves"
"Abubakr Abaidy","Abubakr Al Abaidy"
"Rabea Laafi","Rabea Al Laafi"
"Pedro Martínez","Pedro González Martínez"
"Oceano Cruz","Oceano da Cruz"
"Adam Čerin","Adam Gnezda Čerin"
"Valtemir Souza","Valtemir Teles de Souza"
"Jóhann Guðmundsson","Jóhann Birnir Guðmundsson"
"Antonio Fortezza","Antonio La Fortezza"
"Trond Ludvigsen","Trond Fredrik Ludvigsen"
"David Coz","David de Coz"
"Juan Borrelli","Juan José Borrelli"
"Manuel Cuervo","Manuel Simón Cuervo"
"John Lozano","John Harold Lozano"
"Juan Vargas","Juan Pablo Vargas"
"Roque Cruz","Roque Santa Cruz"
"José Reyes","José Antonio Reyes"
"Gustavo Parra","Gustavo de la Parra"
"İrfan Kahveci","İrfan Can Kahveci"
"José Chilavert","José Luis Chilavert"
"Sergio García","Sergio Tejero García"
"Juan Rubio","Juan Jesús Cabrera Rubio"
"Alessandro Grosso","Alessandro Del Grosso"
"Paulo Rosa","Paulo César Rocha Rosa"
"Juan Seguro","Juan Ángel Seguro"
"José Barla","José Manuel Barla"
"Juha Onttonen","Juha Pekka Onttonen"
"Lars Bø","Lars Gaute Bø"
"Jean-François Sart","Jean-François De Sart"
"Jean Alcénat","Jean Sony Alcénat"
"Michael Nielsen","Michael Mio Nielsen"
"Cheikh Ahmed","Cheikh Moulaye Ahmed"
"Higo Oliveira","Higo Seara Santos de Oliveira"
"Javi Almendro","Javi García Almendro"
"Fernando Napoli","Fernando De Napoli"
"Ole Martinsen","Ole Einar Martinsen"
"Juan Gómez","Juan Andrés Gómez"
"Antonio González","Antonio Reyes González"
"Noël Sagna","Noël Antoine Sagna"
"Rein Duijnhoven","Rein van Duijnhoven"
"José Mena","José María Mena"
"Chris Weerden","Chris van der Weerden"
"Kodjo Laba","Kodjo Fo-Doh Laba"
"Juan Franco","Juan Carlos Franco"
"Loren Pino","Loren del Pino"
"Jean-Yves Blasiis","Jean-Yves de Blasiis"
"Abdul Issahaku","Abdul Fatawu Issahaku"
"Wilson Alegre","Wilson Edgar Pereira Alegre"
"Hermes Soares","Hermes Neves Soares"
"Ala'a Yousif","Ala'a Eldin Yousif"
"Madjid Haddou","Madjid Ben Haddou"
"Cyril Poh","Cyril Eboki Poh"
"José Serrano","José Antonio Serrano"
"José Araújo","José Carlos da Costa Araújo"
"Abdoul Bangoura","Abdoul Karim Bangoura"
"Jon Tomasson","Jon Dahl Tomasson"
"Rafael García","Rafael Collado García"
"Akram Salim","Akram El Hadi Salim"
"Ángel Dorado","Ángel Vivar Dorado"
"Miguel Quintero","Miguel Ángel Burrezo Quintero"
"Juan Riquelme","Juan Román Riquelme"
"Juan Maqueda","Juan José Maqueda"
"José Cases","José María Cases"
"José Ferreira","José Carlos Martins Ferreira"
"Moacir Santos","Moacir Rodrigues Santos"
"Gerardo Zúñiga","Gerardo Flores Zúñiga"
"Michel Zakarian","Michel Der Zakarian"
"Alan Jr.","Alan Kelly Jr."
"Mohamed Yaly","Mohamed Dellahi Yaly"
"Rafael Silva","Rafael da Silva"
"Mohamed Tougai","Mohamed Amine Tougai"
"Carlos Montoya","Carlos Navarro Montoya"
"Victor Ferreira","Victor Ramos Ferreira"
"Franky Elst","Franky Van der Elst"
"El Diaw","El Mostapha Diaw"
"Jan Hesselink","Jan Vennegoor of Hesselink"
"Pape Diop","Pape Malick Diop"
"Ahmed Saïd","Ahmed Mohamed Saïd"
"Emilio Pertierra","Emilio Fernández Pertierra"
"José Villarreal","José Luis Villarreal"
"Gunter Handenhoven","Gunter Van Handenhoven"
"Marcel Ortolan","Marcel Augusto Ortolan"
"Ulrich Gobbel","Ulrich van Gobbel"
"Dusan Djurić","Dusan Predrag Djuric"
"Raúl Cascini","Raúl Alfredo Cascini"
"Talal Karkouri","Talal El Karkouri"
