outcome,player,league,season,apps,goals,club,name_source,transfermarkt_name
resolved,"Axel Witsel","UEFA Europa League",2006,1,0,"Standard Liege",player_stats,"Standard Liège"
resolved,"Axel Witsel","UEFA Europa League",2007,2,0,"Standard Liege",player_stats,"Standard Liège"
resolved,"Axel Witsel","UEFA Europa League",2008,8,1,"Standard Liege",player_stats,"Standard Liège"
resolved,"Axel Witsel","Primeira Liga",2011,29,1,"Benfica",player_stats,""
resolved,"Axel Witsel","Primeira Liga",2012,3,0,"Benfica",player_stats,""
resolved,"Aymeric Laporte","Saudi Pro League",2023,27,4,"Al-Nassr",teams,""
resolved,"Aymeric Laporte","Saudi Pro League",2024,20,4,"Al-Nassr",teams,""
resolved,"Ayoze Pérez","Championship",2016,36,9,"Newcastle",player_stats,""
resolved,"Bas Dost","Eredivisie",2009,34,14,"Heracles",player_stats~,"Heracles Almelo"
resolved,"Bas Dost","Eredivisie",2011,34,32,"Heerenveen",player_stats,""
resolved,"Bas Dost","Primeira Liga",2016,31,34,"Sporting CP",player_stats,""
resolved,"Bas Dost","Primeira Liga",2017,30,27,"Sporting CP",player_stats,""
resolved,"Bas Dost","Primeira Liga",2018,22,15,"Sporting CP",player_stats,""
resolved,"Bas Dost","Primeira Liga",2019,1,0,"Sporting CP",player_stats,""
resolved,"Bas Dost","Eredivisie",2022,22,9,"Utrecht",player_stats,"FC Utrecht"
resolved,"Bashir Humphreys","Championship",2023,24,1,"Swansea",player_stats,""
resolved,"Bashir Humphreys","Championship",2024,25,1,"Burnley",player_stats,""
resolved,"Ben Brereton Díaz","Championship",2016,18,3,"Nottingham Forest",alias,"Nott'm Forest"
resolved,"Ben Brereton Díaz","Championship",2017,35,5,"Nottingham Forest",alias,"Nott'm Forest"
resolved,"Ben Brereton Díaz","Championship",2019,15,1,"Blackburn",player_stats,""
resolved,"Ben Brereton Díaz","Championship",2020,40,7,"Blackburn",player_stats,""
resolved,"Ben Brereton Díaz","Championship",2021,37,22,"Blackburn",player_stats,""
resolved,"Ben Brereton Díaz","Championship",2022,43,14,"Blackburn",player_stats,""
resolved,"Ben Brereton Díaz","Championship",2024,17,4,"Sheffield Utd",alias,"Sheff Utd"
resolved,"Ben Chilwell","Championship",2015,8,0,"Huddersfield",player_stats,""
resolved,"Ben Gannon-Doak","Championship",2024,24,3,"Middlesbrough",player_stats,""
resolved,"Ben Godfrey","Championship",2016,2,0,"Norwich",player_stats,""
resolved,"Ben Godfrey","Championship",2018,31,4,"Norwich",player_stats,""
resolved,"Ben Godfrey","Championship",2020,3,0,"Norwich",player_stats,""
resolved,"Ben Godfrey","Championship",2025,4,0,"Sheffield Utd",alias,"Sheff Utd"
resolved,"Benjamin Sesko","Bundesliga",2020,1,0,"FC Liefering",teams,""
resolved,"Bertrand Traoré","Eredivisie",2013,13,3,"Vitesse",player_stats,""
resolved,"Bertrand Traoré","Eredivisie",2014,29,13,"Vitesse",player_stats,""
resolved,"Bertrand Traoré","Eredivisie",2016,24,9,"Ajax",player_stats,""
resolved,"Bertrand Traoré","Süper Lig",2022,12,2,"Başakşehir",player_stats,"Basaksehir"
resolved,"Bertrand Traoré","Eredivisie",2024,32,6,"Ajax",player_stats,""
resolved,"Bertrand Traoré","Eredivisie",2025,1,0,"Ajax",player_stats,""
resolved,"Beto","Primeira Liga",2020,30,11,"Portimonense",teams,""
resolved,"Beto","Primeira Liga",2021,3,2,"Portimonense",teams,""
resolved,"Bilal El Khannouss","Championship",2025,2,0,"Leicester",player_stats,""
resolved,"Borna Barisic","Süper Lig",2024,9,0,"Trabzonspor",player_stats,""
resolved,"Borna Sosa","Eredivisie",2023,16,0,"Ajax",player_stats,""
resolved,"Boubakary Soumaré","Championship",2025,16,0,"Leicester",player_stats,""
resolved,"Brenden Aaronson","Championship",2024,46,9,"Leeds",player_stats,""
resolved,"Brennan Johnson","Championship",2019,4,0,"Nottingham Forest",alias,"Nott'm Forest"
resolved,"Brennan Johnson","Championship",2021,46,16,"Nottingham Forest",alias,"Nott'm Forest"
resolved,"Brian Brobbey","Eredivisie",2021,11,7,"Ajax",player_stats,""
resolved,"Brian Brobbey","Eredivisie",2022,32,13,"Ajax",player_stats,""
resolved,"Brian Brobbey","Eredivisie",2023,30,18,"Ajax",player_stats,""
resolved,"Brian Brobbey","Eredivisie",2024,30,4,"Ajax",player_stats,""
resolved,"Brooke Norton-Cuffy","Championship",2023,40,2,"Millwall",teams,""
resolved,"Bruno Fernandes","Primeira Liga",2017,33,11,"Sporting CP",alias,"Sporting"
resolved,"Bruno Fernandes","Primeira Liga",2018,33,20,"Sporting CP",alias,"Sporting"
resolved,"Bruno Fernandes","Primeira Liga",2019,17,8,"Sporting CP",alias,"Sporting"
resolved,"Bryan Cristante","Primeira Liga",2014,5,0,"Benfica",player_stats,""
resolved,"Bryan Cristante","Primeira Liga",2015,2,0,"Benfica",player_stats,""
resolved,"Bryan Mbeumo","Championship",2019,42,15,"Brentford",player_stats,""
resolved,"Bryan Mbeumo","Championship",2020,44,8,"Brentford",player_stats,""
resolved,"Çağlar Söyüncü","Süper Lig",2023,12,2,"Fenerbahçe",player_stats,""
resolved,"Çağlar Söyüncü","Süper Lig",2024,25,1,"Fenerbahçe",player_stats,""
resolved,"Çağlar Söyüncü","Süper Lig",2025,11,0,"Fenerbahçe",player_stats,""
resolved,"Calum Chambers","Championship",2024,41,2,"Cardiff",player_stats,""
resolved,"Calvin Bassey","Eredivisie",2022,25,1,"Ajax",player_stats,""
resolved,"Calvin Stengs","Eredivisie",2017,1,0,"AZ Alkmaar",player_stats,""
resolved,"Calvin Stengs","Eredivisie",2018,21,3,"AZ Alkmaar",player_stats,""
resolved,"Calvin Stengs","Eredivisie",2019,25,5,"AZ Alkmaar",player_stats,""
resolved,"Calvin Stengs","Eredivisie",2020,30,7,"AZ Alkmaar",player_stats,""
resolved,"Calvin Stengs","Eredivisie",2023,29,6,"Feyenoord",player_stats,""
resolved,"Calvin Stengs","Eredivisie",2024,12,1,"Feyenoord",player_stats,""
resolved,"Cameron Archer","Championship",2021,20,7,"Preston",teams,""
resolved,"Cameron Archer","Championship",2022,20,11,"Middlesbrough",player_stats,""
resolved,"Cameron Archer","Championship",2025,30,4,"Southampton",player_stats,""
resolved,"Carlos Alcaraz","Championship",2023,23,3,"Southampton",player_stats,""
resolved,"Carlos Forbs","Eredivisie",2023,21,2,"Ajax",player_stats,""
resolved,"Carlos Forbs","Eredivisie",2024,1,0,"Ajax",player_stats,""
resolved,"Carlos Vinícius","Primeira Liga",2019,32,18,"Benfica",player_stats,""
resolved,"Carlos Vinícius","Primeira Liga",2020,1,0,"Benfica",player_stats,""
resolved,"Carlos Vinícius","Primeira Liga",2021,1,0,"Benfica",player_stats,""
resolved,"Carlos Vinícius","Eredivisie",2021,23,6,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Carlos Vinícius","Eredivisie",2022,1,0,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Carlos Vinícius","Süper Lig",2023,10,1,"Galatasaray",player_stats,""
resolved,"Casemiro","Primeira Liga",2014,28,3,"Porto",player_stats,""
resolved,"Cédric Bakambu","Süper Lig",2014,27,13,"Bursaspor",player_stats,""
resolved,"Cédric Soares","Primeira Liga",2010,2,0,"Sporting CP",alias,"Sporting"
resolved,"Cédric Soares","Primeira Liga",2012,13,1,"Sporting CP",alias,"Sporting"
