outcome,player,league,season,apps,goals,club,name_source,transfermarkt_name
resolved,"Wouter Burger","Eredivisie",2019,6,0,"Feyenoord",player_stats,""
resolved,"Wouter Burger","Eredivisie",2020,18,2,"Feyenoord",player_stats,""
resolved,"Wout Weghorst","Eredivisie",2016,29,13,"AZ Alkmaar",player_stats,""
resolved,"Yannick Bolasie","Championship",2012,43,3,"Crystal Palace",player_stats,""
resolved,"Yannick Bolasie","Championship",2023,10,0,"Swansea",player_stats,""
resolved,"Yasin Ayari","Championship",2023,10,0,"Blackburn",player_stats,""
resolved,"Youssouf Ndayishimiye","Süper Lig",2020,14,0,"Başakşehir",player_stats,"Basaksehir"
resolved,"Lasse Schöne","UEFA Europa League",2008,7,1,"De Graafschap",teams,""
resolved,"Luis Suárez","UEFA Europa League",2007,2,0,"Ajax",player_stats,""
no-candidates,"Aaron Hughes","UEFA Europa League",1999,3,0,,,""
no-candidates,"Aaron Hughes","UEFA Europa League",2003,10,0,,,""
no-candidates,"Aaron Hughes","UEFA Europa League",2004,10,0,,,""
no-candidates,"Aaron Hughes","Championship",2013,11,0,,,""
no-candidates,"Aaron Hughes","Championship",2014,10,0,,,""
no-candidates,"Aaron Hunt","UEFA Europa League",2006,7,0,,,""
no-candidates,"Aaron Hunt","UEFA Europa League",2007,3,0,,,""
no-candidates,"Aaron Hunt","UEFA Europa League",2008,4,0,,,""
no-candidates,"Aaron Lennon","Championship",2004,27,1,,,""
no-candidates,"Aaron Lennon","UEFA Europa League",2006,8,1,,,""
no-candidates,"Aaron Lennon","UEFA Europa League",2007,9,0,,,""
no-candidates,"Aaron Lennon","UEFA Europa League",2008,6,0,,,""
no-candidates,"Aaron Lennon","Süper Lig",2020,36,0,,,""
no-candidates,"Aaron Ramsey","Championship",2006,1,0,,,""
no-candidates,"Aaron Ramsey","Championship",2007,15,1,,,""
no-candidates,"Aaron Ramsey","Championship",2010,6,1,,,""
ambiguous,"Aaron Ramsey","Championship",2022,11,5,,,"Norwich | Middlesbrough"
no-candidates,"Aaron Ramsey","Championship",2023,13,3,,,""
no-candidates,"Aaron Ramsey","Championship",2024,8,0,,,""
no-candidates,"Abdoulaye Méïté","UEFA Europa League",2003,9,1,,,""
no-candidates,"Abdoulaye Méïté","UEFA Europa League",2005,5,0,,,""
no-candidates,"Abdoulaye Méïté","UEFA Europa League",2007,6,1,,,""
no-candidates,"Abdoulaye Méïté","Championship",2009,20,0,,,""
no-candidates,"Abdoulaye Méïté","Championship",2013,21,1,,,""
ambiguous,"Abdul Fatawu","Premier League",2021,7,6,,,"Steadfast FC | Dreams FC"
ambiguous,"Adam Armstrong","Championship",2016,34,6,,,"Newcastle | Barnsley"
no-candidates,"Adam Johnson","UEFA Europa League",2004,1,0,,,""
no-candidates,"Adam Johnson","UEFA Europa League",2005,3,0,,,""
no-candidates,"Adam Johnson","Championship",2006,5,0,,,""
no-candidates,"Adam Johnson","Championship",2007,12,5,,,""
no-candidates,"Adam Johnson","Championship",2009,26,11,,,""
ambiguous,"Adam Lallana","Championship",2007,5,1,,,"Southampton | Bournemouth"
ambiguous,"Adam Webster","Championship",2016,23,1,,,"Portsmouth | Ipswich"
ambiguous,"Adam Webster","Championship",2018,44,3,,,"Ipswich | Bristol City"
no-candidates,"Adil Rami","Süper Lig",2019,1,0,,,""
no-candidates,"Adil Rami","Primeira Liga",2020,22,0,,,""
no-candidates,"Adrián López","Primeira Liga",2014,9,0,,,""
no-candidates,"Adrián López","Primeira Liga",2016,5,0,,,""
no-candidates,"Adrián López","Primeira Liga",2018,11,1,,,""
no-candidates,"Adrian Mutu","UEFA Europa League",1998,2,0,,,""
no-candidates,"Adrian Mutu","UEFA Europa League",1999,2,0,,,""
no-candidates,"Adrian Mutu","UEFA Europa League",2002,4,4,,,""
no-candidates,"Adrian Mutu","UEFA Europa League",2007,10,6,,,""
no-candidates,"Adrian Mutu","UEFA Europa League",2008,2,0,,,""
no-candidates,"Adriano","UEFA Europa League",2004,4,1,,,""
no-candidates,"Adriano","UEFA Europa League",2005,14,3,,,""
no-candidates,"Adriano","UEFA Europa League",2006,11,1,,,""
no-candidates,"Adriano","UEFA Europa League",2008,5,1,,,""
no-candidates,"Adriano","Süper Lig",2016,31,1,,,""
no-candidates,"Adriano","Süper Lig",2017,25,2,,,""
no-candidates,"Adriano","Süper Lig",2018,22,0,,,""
ambiguous,"Adrien Silva","Primeira Liga",2011,28,4,,,"Coimbra | Sporting CP"
ambiguous,"Adrien Silva","Primeira Liga",2023,10,0,,,"Al-Wahda | Rio Ave"
no-candidates,"Afonso Moreira","Primeira Liga",2024,1,0,,,""
unknown-club,"Ahmed Musa","Eredivisie",2010,23,5,,,"VVV-Venlo"
unknown-club,"Ahmed Musa","Eredivisie",2011,14,3,,,"VVV-Venlo"
ambiguous,"Ahmed Musa","Saudi Pro League",2020,2,0,,,"Al-Nassr | Kano Pillars"
ambiguous,"Ahmed Musa","Süper Lig",2021,31,2,,,"Kano Pillars | Karagümrük"
ambiguous,"Ahmed Musa","Süper Lig",2022,17,0,,,"Karagümrük | Sivasspor"
no-candidates,"Ajdin Hrustic","Eredivisie",2016,5,1,,,""
no-candidates,"Albert Meyong","Primeira Liga",1999,9,2,,,""
no-candidates,"Albert Meyong","Primeira Liga",2001,28,3,,,""
no-candidates,"Albert Meyong","Primeira Liga",2002,24,7,,,""
no-candidates,"Albert Meyong","Primeira Liga",2004,33,11,,,""
no-candidates,"Albert Meyong","Primeira Liga",2005,26,17,,,""
no-candidates,"Albert Meyong","Primeira Liga",2007,1,1,,,""
no-candidates,"Albert Meyong","Primeira Liga",2008,18,7,,,""
no-candidates,"Albert Meyong","UEFA Europa League",2008,8,4,,,""
no-candidates,"Albert Meyong","Primeira Liga",2009,29,11,,,""
no-candidates,"Albert Meyong","Primeira Liga",2010,15,3,,,""
no-candidates,"Albert Meyong","Primeira Liga",2011,9,3,,,""
no-candidates,"Albert Meyong","Primeira Liga",2012,16,13,,,""
no-candidates,"Albert Meyong","Primeira Liga",2015,7,0,,,""
no-candidates,"Albert Meyong","Primeira Liga",2016,12,1,,,""
no-candidates,"Alberto Aquilani","UEFA Europa League",2005,8,1,,,""
no-candidates,"Alberto Aquilani","Primeira Liga",2015,19,3,,,""
no-candidates,"Alberto Costa","Primeira Liga",2023,1,0,,,""
no-candidates,"Alberto Gilardino","UEFA Europa League",2002,2,0,,,""
no-candidates,"Alberto Gilardino","UEFA Europa League",2003,4,3,,,""
no-candidates,"Alberto Gilardino","UEFA Europa League",2004,8,1,,,""
no-candidates,"Alberto Gilardino","UEFA Europa League",2008,2,1,,,""
no-candidates,"Albert Riera","UEFA Europa League",2003,10,5,,,""
no-candidates,"Albert Riera","UEFA Europa League",2005,3,0,,,""
no-candidates,"Albert Riera","UEFA Europa League",2006,13,4,,,""
no-candidates,"Albert Riera","Süper Lig",2011,26,1,,,""
no-candidates,"Albert Riera","Süper Lig",2012,26,2,,,""
no-candidates,"Albert Riera","Championship",2013,8,1,,,""
no-candidates,"Albert Riera","Süper Lig",2013,4,0,,,""
unknown-club,"Aleksandar Dragovic","Bundesliga",2008,17,0,,,"A. Vienna Res."
no-candidates,"Aleksandar Dragovic","Bundesliga",2009,32,0,,,""
no-candidates,"Aleksandar Dragovic","Bundesliga",2010,18,1,,,""
no-candidates,"Aleksandar Dragovic","Bundesliga",2024,29,0,,,""
no-candidates,"Aleksandar Dragovic","Bundesliga",2025,28,2,,,""
no-candidates,"Aleksandr Anyukov","UEFA Europa League",2005,12,0,,,""
no-candidates,"Aleksandr Anyukov","UEFA Europa League",2007,14,1,,,""
no-candidates,"Aleksandr Anyukov","UEFA Europa League",2008,3,0,,,""
no-candidates,"Aleksandr Anyukov","UEFA Champions League",2011,7,0,,,""
no-candidates,"Aleksandr Anyukov","UEFA Champions League",2012,6,0,,,""
no-candidates,"Aleksandr Anyukov","UEFA Champions League",2013,3,0,,,""
no-candidates,"Aleksandr Anyukov","UEFA Champions League",2014,5,0,,,""
no-candidates,"Aleksandr Anyukov","UEFA Champions League",2015,7,0,,,""
no-candidates,"Aleksandr Hleb","UEFA Europa League",2000,1,0,,,""
no-candidates,"Aleksandr Hleb","Bundesliga",2000,6,0,,,""
no-candidates,"Aleksandr Hleb","Bundesliga",2001,32,2,,,""
no-candidates,"Aleksandr Hleb","UEFA Europa League",2002,8,3,,,""
no-candidates,"Aleksandr Hleb","Bundesliga",2002,34,4,,,""
no-candidates,"Aleksandr Hleb","UEFA Champions League",2003,8,0,,,""
no-candidates,"Aleksandr Hleb","Bundesliga",2003,31,5,,,""
no-candidates,"Aleksandr Hleb","UEFA Europa League",2004,8,0,,,""
no-candidates,"Aleksandr Hleb","Bundesliga",2004,34,2,,,""
no-candidates,"Aleksandr Hleb","Premier League",2005,25,3,,,""
no-candidates,"Aleksandr Hleb","UEFA Champions League",2005,10,0,,,""
no-candidates,"Aleksandr Hleb","UEFA Champions League",2006,8,1,,,""
no-candidates,"Aleksandr Hleb","Premier League",2006,33,2,,,""
no-candidates,"Aleksandr Hleb","Premier League",2007,31,2,,,""
no-candidates,"Aleksandr Hleb","UEFA Champions League",2007,7,1,,,""
no-candidates,"Aleksandr Hleb","La Liga",2008,19,0,,,""
no-candidates,"Aleksandr Hleb","UEFA Champions League",2008,7,0,,,""
no-candidates,"Aleksandr Hleb","Bundesliga",2009,27,0,,,""
no-candidates,"Aleksandr Hleb","UEFA Champions League",2009,7,0,,,""
no-candidates,"Aleksandr Hleb","Süper Lig",2013,16,2,,,""
no-candidates,"Aleksandr Hleb","Süper Lig",2014,15,2,,,""
no-candidates,"Aleksandr Hleb","Süper Lig",2015,12,0,,,""
no-candidates,"Aleksandr Kerzhakov","UEFA Europa League",2002,2,2,,,""
no-candidates,"Aleksandr Kerzhakov","UEFA Europa League",2004,5,5,,,""
no-candidates,"Aleksandr Kerzhakov","UEFA Europa League",2005,12,6,,,""
no-candidates,"Aleksandr Kerzhakov","UEFA Europa League",2006,8,2,,,""
no-candidates,"Aleksandr Kerzhakov","UEFA Champions League",2011,4,0,,,""
no-candidates,"Aleksandr Kerzhakov","UEFA Champions League",2012,5,1,,,""
no-candidates,"Aleksandr Kerzhakov","UEFA Champions League",2013,8,2,,,""
no-candidates,"Aleksandr Kerzhakov","UEFA Champions League",2014,3,0,,,""
no-candidates,"Alessio Cerci","Süper Lig",2018,12,1,,,""
no-candidates,"Alex","Eredivisie",2004,27,3,,,""
no-candidates,"Alex","Eredivisie",2005,28,2,,,""
no-candidates,"Alex","Eredivisie",2006,29,6,,,""
no-candidates,"Alexander Isak","Eredivisie",2018,16,13,,,""
no-candidates,"Alexandros Tziolis","UEFA Europa League",2003,1,0,,,""
no-candidates,"Alexandros Tziolis","UEFA Europa League",2004,4,0,,,""
no-candidates,"Alexandros Tziolis","UEFA Europa League",2006,7,0,,,""
no-candidates,"Alexandros Tziolis","UEFA Europa League",2007,8,0,,,""
no-candidates,"Alexandros Tziolis","UEFA Europa League",2008,8,0,,,""
no-candidates,"Alexandros Tziolis","Süper Lig",2013,15,0,,,""
no-candidates,"Alexandros Tziolis","Saudi Pro League",2017,25,2,,,""
no-candidates,"Alexandros Tziolis","Saudi Pro League",2018,29,1,,,""
no-candidates,"Alex Scott","Championship",2020,3,0,,,""
no-candidates,"Alex Song","UEFA Champions League",2010,5,1,,,""
no-candidates,"Alfie Mawson","Championship",2016,4,2,,,""
no-candidates,"Alfie Mawson","Championship",2019,27,0,,,""
no-candidates,"Alfie Mawson","Championship",2020,11,0,,,""
no-candidates,"Alfie Mawson","Championship",2021,6,0,,,""
ambiguous,"Alireza Jahanbakhsh","Eredivisie",2013,27,5,,,"Damash Gilan | NEC Nijmegen"
ambiguous,"Alireza Jahanbakhsh","Eredivisie",2015,23,3,,,"NEC Nijmegen | AZ Alkmaar"
no-candidates,"Alou Diarra","UEFA Europa League",2005,6,0,,,""
no-candidates,"Alou Diarra","UEFA Europa League",2007,4,0,,,""
no-candidates,"Alou Diarra","UEFA Europa League",2008,2,0,,,""
no-candidates,"Alou Diarra","Championship",2014,12,1,,,""
no-candidates,"Alou Diarra","Championship",2015,32,0,,,""
no-candidates,"Álvaro Arbeloa","UEFA Champions League",2006,5,0,,,""
no-candidates,"Álvaro Pereira","Primeira Liga",2009,28,1,,,""
no-candidates,"Álvaro Pereira","Primeira Liga",2010,21,0,,,""
no-candidates,"Álvaro Pereira","UEFA Champions League",2011,6,0,,,""
no-candidates,"Álvaro Pereira","Primeira Liga",2011,23,1,,,""
no-candidates,"Álvaro Pereira","Serie A",2012,28,1,,,""
no-candidates,"Álvaro Pereira","Serie A",2013,5,0,,,""
no-candidates,"Álvaro Pereira","La Liga",2015,6,0,,,""
no-candidates,"Amadou Haidara","Bundesliga",2017,31,2,,,""
no-candidates,"Amar Dedić","Bundesliga",2021,32,2,,,""
no-candidates,"Amar Dedić","Bundesliga",2022,27,1,,,""
no-candidates,"Amar Dedić","Bundesliga",2023,21,3,,,""
no-candidates,"Amar Dedić","Bundesliga",2024,12,0,,,""
no-candidates,"Amauri","UEFA Europa League",2007,2,0,,,""
no-candidates,"Amin Younes","Eredivisie",2015,27,8,,,""
no-candidates,"Amin Younes","Eredivisie",2016,29,3,,,""
no-candidates,"Amin Younes","Eredivisie",2017,13,1,,,""
no-candidates,"Amin Younes","Saudi Pro League",2021,9,2,,,""
no-candidates,"Amin Younes","Eredivisie",2022,10,0,,,""
no-candidates,"Anatoliy Tymoshchuk","UEFA Europa League",2000,1,0,,,""
no-candidates,"Anatoliy Tymoshchuk","UEFA Europa League",2001,2,0,,,""
no-candidates,"Anatoliy Tymoshchuk","UEFA Europa League",2002,2,0,,,""
no-candidates,"Anatoliy Tymoshchuk","UEFA Europa League",2003,2,0,,,""
no-candidates,"Anatoliy Tymoshchuk","UEFA Europa League",2004,3,0,,,""
no-candidates,"Anatoliy Tymoshchuk","UEFA Europa League",2005,6,0,,,""
no-candidates,"Anatoliy Tymoshchuk","UEFA Europa League",2006,1,0,,,""
no-candidates,"Anatoliy Tymoshchuk","UEFA Europa League",2007,15,1,,,""
no-candidates,"Anatoliy Tymoshchuk","UEFA Europa League",2008,3,2,,,""
no-candidates,"Anderson","Primeira Liga",2005,3,0,,,""
no-candidates,"Anderson","Primeira Liga",2006,15,2,,,""
no-candidates,"Andoni Iraola","UEFA Europa League",2004,8,1,,,""
no-candidates,"Andrea Barzagli","UEFA Europa League",2005,8,0,,,""
no-candidates,"Andrea Barzagli","UEFA Europa League",2006,5,0,,,""
no-candidates,"Andrea Barzagli","UEFA Europa League",2007,2,0,,,""
no-candidates,"Andrea Barzagli","UEFA Europa League",2008,8,0,,,""
ambiguous,"Andrea Bertolacci","Süper Lig",2021,10,1,,,"Karagümrük | Kayserispor"
ambiguous,"Andrea Bertolacci","Süper Lig",2022,14,0,,,"Kayserispor | Karagümrük"
no-candidates,"Andrea Pirlo","Serie A",1994,1,0,,,""
no-candidates,"Andrea Pirlo","UEFA Europa League",2000,1,0,,,""
no-candidates,"Andrea Pirlo","UEFA Europa League",2001,9,0,,,""
no-candidates,"Andrea Pirlo","UEFA Europa League",2008,3,1,,,""
unknown-club,"Andre Gray","Saudi Pro League",2023,26,7,,,"Al-Riyadh"
no-candidates,"Andre Gray","Championship",2024,13,3,,,""
no-candidates,"Andre Gray","Süper Lig",2025,12,0,,,""
no-candidates,"André Silva","Primeira Liga",2015,9,1,,,""
no-candidates,"Andrés Iniesta","UEFA Europa League",2003,3,0,,,""
no-candidates,"Andrey Arshavin","UEFA Europa League",2002,2,0,,,""
no-candidates,"Andrey Arshavin","UEFA Europa League",2004,6,4,,,""
no-candidates,"Andrey Arshavin","UEFA Europa League",2005,11,4,,,""
no-candidates,"Andrey Arshavin","UEFA Europa League",2007,14,4,,,""
ambiguous,"Andros Townsend","Championship",2010,11,2,,,"Tottenham Res. | Ipswich | Watford | Millwall"
no-candidates,"Andy Carroll","UEFA Europa League",2006,2,0,,,""
no-candidates,"Andy Carroll","Championship",2007,11,1,,,""
no-candidates,"Andy Carroll","Championship",2009,39,17,,,""
no-candidates,"Andy Carroll","Championship",2021,15,3,,,""
no-candidates,"Andy Carroll","Championship",2022,30,9,,,""
ambiguous,"Andy Delort","Championship",2014,11,0,,,"Tours FC | Wigan"
no-candidates,"Anel Ahmedhodzic","Championship",2016,1,0,,,""
no-candidates,"Anthony Modeste","Premier League",2023,17,4,,,""
no-candidates,"Antonín Barák","Süper Lig",2024,22,2,,,""
no-candidates,"Antonio Cassano","UEFA Europa League",2003,6,4,,,""
no-candidates,"Antonio Cassano","UEFA Europa League",2005,2,1,,,""
no-candidates,"Antonio Cassano","UEFA Europa League",2007,1,0,,,""
no-candidates,"Antonio Cassano","UEFA Europa League",2008,6,2,,,""
no-candidates,"Antonio Di Natale","UEFA Europa League",2004,2,0,,,""
no-candidates,"Antonio Di Natale","UEFA Europa League",2005,2,1,,,""
no-candidates,"Antonio Di Natale","UEFA Europa League",2008,7,3,,,""
no-candidates,"Arda Turan","Süper Lig",2004,1,0,,,""
no-candidates,"Arda Turan","Süper Lig",2005,15,2,,,""
no-candidates,"Arda Turan","Süper Lig",2006,26,5,,,""
no-candidates,"Arda Turan","UEFA Europa League",2007,7,1,,,""
no-candidates,"Arda Turan","Süper Lig",2007,30,7,,,""
no-candidates,"Arda Turan","UEFA Europa League",2008,9,2,,,""
no-candidates,"Arda Turan","Süper Lig",2008,29,8,,,""
no-candidates,"Arda Turan","Süper Lig",2009,29,7,,,""
no-candidates,"Arda Turan","Süper Lig",2010,12,2,,,""
no-candidates,"Arda Turan","Süper Lig",2017,11,2,,,""
no-candidates,"Arda Turan","Süper Lig",2018,14,0,,,""
no-candidates,"Arda Turan","Süper Lig",2019,9,0,,,""
no-candidates,"Arda Turan","Süper Lig",2020,32,4,,,""
no-candidates,"Arda Turan","Süper Lig",2021,7,0,,,""
no-candidates,"Arjen Robben","Eredivisie",2000,18,2,,,""
no-candidates,"Arjen Robben","Eredivisie",2001,28,6,,,""
no-candidates,"Arjen Robben","Eredivisie",2002,33,12,,,""
no-candidates,"Arjen Robben","UEFA Europa League",2003,2,0,,,""
no-candidates,"Arjen Robben","Eredivisie",2003,23,5,,,""
no-candidates,"Arjen Robben","Eredivisie",2020,6,0,,,""
ambiguous,"Artem Dzyuba","UEFA Champions League",2015,8,6,,,"Spartak Moscow | Zenit S-Pb"
no-candidates,"Artem Fedetskyi","UEFA Champions League",2008,1,0,,,""
no-candidates,"Ashley Cole","Championship",2018,9,0,,,""
no-candidates,"Attila Szalai","Bundesliga",2015,1,0,,,""
no-candidates,"Bacary Sagna","UEFA Europa League",2004,10,0,,,""
no-candidates,"Bacary Sagna","UEFA Europa League",2005,1,0,,,""
no-candidates,"Bacary Sagna","UEFA Europa League",2006,6,0,,,""
no-candidates,"Balázs Dzsudzsák","UEFA Europa League",2005,1,0,,,""
no-candidates,"Balázs Dzsudzsák","UEFA Europa League",2007,5,0,,,""
no-candidates,"Balázs Dzsudzsák","Eredivisie",2007,17,3,,,""
no-candidates,"Balázs Dzsudzsák","Eredivisie",2008,32,11,,,""
no-candidates,"Balázs Dzsudzsák","Eredivisie",2009,32,14,,,""
no-candidates,"Balázs Dzsudzsák","Eredivisie",2010,33,16,,,""
no-candidates,"Balázs Dzsudzsák","Süper Lig",2015,23,3,,,""
ambiguous,"Bas Dost","Eredivisie",2008,27,3,,,"FC Emmen | Heracles Almelo"
ambiguous,"Bas Dost","Eredivisie",2010,32,13,,,"Heracles Almelo | Heerenveen"
ambiguous,"Bas Dost","Eredivisie",2023,8,3,,,"FC Utrecht | NEC Nijmegen"
no-candidates,"Bastian Schweinsteiger","UEFA Europa League",2007,12,0,,,""
no-candidates,"Benedikt Höwedes","UEFA Europa League",2008,5,0,,,""
no-candidates,"Benedikt Höwedes","Bundesliga",2010,30,1,,,""
no-candidates,"Benedikt Höwedes","Bundesliga",2011,22,1,,,""
no-candidates,"Benedikt Höwedes","UEFA Champions League",2012,8,2,,,""
no-candidates,"Benedikt Höwedes","Bundesliga",2012,32,0,,,""
no-candidates,"Benedikt Höwedes","Bundesliga",2013,19,1,,,""
no-candidates,"Benedikt Höwedes","UEFA Champions League",2013,8,0,,,""
no-candidates,"Benedikt Höwedes","UEFA Champions League",2014,6,1,,,""
no-candidates,"Benedikt Höwedes","Bundesliga",2014,28,2,,,""
no-candidates,"Benedikt Höwedes","Bundesliga",2015,15,1,,,""
no-candidates,"Benedikt Höwedes","Bundesliga",2016,31,1,,,""
no-candidates,"Benedikt Höwedes","Serie A",2017,3,1,,,""
no-candidates,"Benedikt Höwedes","UEFA Champions League",2018,5,0,,,""
no-candidates,"Benedikt Höwedes","UEFA Champions League",2019,6,0,,,""
no-candidates,"Ben Gibson","Championship",2010,1,0,,,""
no-candidates,"Ben Gibson","Championship",2012,1,0,,,""
no-candidates,"Ben Gibson","Championship",2013,31,1,,,""
no-candidates,"Ben Gibson","Championship",2014,36,0,,,""
no-candidates,"Ben Gibson","Championship",2015,33,1,,,""
no-candidates,"Ben Gibson","Championship",2017,46,1,,,""
no-candidates,"Ben Gibson","Championship",2020,27,0,,,""
no-candidates,"Ben Gibson","Championship",2022,23,0,,,""
no-candidates,"Ben Gibson","Championship",2023,35,0,,,""
no-candidates,"Ben Gibson","Championship",2024,24,3,,,""
no-candidates,"Ben Gibson","Championship",2025,13,1,,,""
no-candidates,"Benjamin Sesko","Bundesliga",2021,24,5,,,""
no-candidates,"Benjamin Sesko","Bundesliga",2022,30,16,,,""
no-candidates,"Benoît Trémoulinas","UEFA Europa League",2007,7,0,,,""
no-candidates,"Benoît Trémoulinas","UEFA Europa League",2008,1,0,,,""
no-candidates,"Bernardo Silva","Primeira Liga",2013,1,0,,,""
ambiguous,"Beto","Primeira Liga",2019,11,0,,,"CO Montijo | Portimonense 23 | Portimonense"
no-candidates,"Blaise Matuidi","UEFA Europa League",2008,9,0,,,""
no-candidates,"Bobby Zamora","Championship",2004,34,7,,,""
no-candidates,"Bobby Zamora","UEFA Europa League",2006,2,0,,,""
no-candidates,"Bobby Zamora","Championship",2013,17,3,,,""
no-candidates,"Bobby Zamora","Championship",2015,26,7,,,""
no-candidates,"Bojan Krkic","Eredivisie",2013,24,4,,,""
no-candidates,"Bojan Krkic","Championship",2018,21,1,,,""
no-candidates,"Borja Valero","Championship",2009,1,0,,,""
no-candidates,"Bosingwa","Primeira Liga",2001,15,0,,,""
no-candidates,"Bosingwa","UEFA Europa League",2002,8,0,,,""
no-candidates,"Bosingwa","Primeira Liga",2002,26,0,,,""
no-candidates,"Bosingwa","Primeira Liga",2003,13,1,,,""
no-candidates,"Bosingwa","Primeira Liga",2004,25,1,,,""
no-candidates,"Bosingwa","Primeira Liga",2005,21,0,,,""
no-candidates,"Bosingwa","Primeira Liga",2006,24,0,,,""
no-candidates,"Bosingwa","Primeira Liga",2007,23,1,,,""
no-candidates,"Bosingwa","UEFA Champions League",2010,4,0,,,""
no-candidates,"Bosingwa","Süper Lig",2013,27,0,,,""
no-candidates,"Bosingwa","Süper Lig",2014,24,0,,,""
no-candidates,"Bosingwa","Süper Lig",2015,12,0,,,""
no-candidates,"Branislav Ivanovic","UEFA Europa League",2006,2,1,,,""
no-candidates,"Branislav Ivanovic","UEFA Europa League",2007,6,1,,,""
no-candidates,"Brede Hangeland","UEFA Europa League",2001,4,0,,,""
no-candidates,"Brede Hangeland","UEFA Europa League",2002,4,0,,,""
no-candidates,"Brede Hangeland","UEFA Europa League",2005,6,0,,,""
no-candidates,"Brede Hangeland","UEFA Europa League",2007,5,0,,,""
no-candidates,"Brenden Aaronson","Bundesliga",2020,20,5,,,""
no-candidates,"Brenden Aaronson","Bundesliga",2021,26,4,,,""
no-candidates,"Brian Brobbey","Eredivisie",2020,12,3,,,""
ambiguous,"Brooke Norton-Cuffy","Championship",2022,21,0,,,"Rotherham | Coventry"
no-candidates,"Bruno Alves","Primeira Liga",2001,15,0,,,""
no-candidates,"Bruno Alves","Primeira Liga",2003,26,1,,,""
no-candidates,"Bruno Alves","UEFA Europa League",2004,5,0,,,""
no-candidates,"Bruno Alves","Primeira Liga",2005,7,0,,,""
no-candidates,"Bruno Alves","Primeira Liga",2006,28,2,,,""
no-candidates,"Bruno Alves","Primeira Liga",2007,27,2,,,""
no-candidates,"Bruno Alves","Primeira Liga",2008,30,5,,,""
no-candidates,"Bruno Alves","Primeira Liga",2009,27,5,,,""
no-candidates,"Bruno Alves","Süper Lig",2013,25,2,,,""
no-candidates,"Bruno Alves","Süper Lig",2014,24,0,,,""
no-candidates,"Bruno Alves","Süper Lig",2015,26,1,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2006,30,5,,,""
no-candidates,"Burak Yilmaz","UEFA Europa League",2006,6,0,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2007,16,9,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2008,6,0,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2009,11,3,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2010,30,19,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2011,30,32,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2012,30,24,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2013,32,16,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2014,28,16,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2015,15,9,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2017,25,23,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2018,15,11,,,""
no-candidates,"Burak Yilmaz","Süper Lig",2019,25,13,,,""
no-candidates,"Burak Yilmaz","Eredivisie",2022,26,9,,,""
unknown-club,"Callum Wilson","Championship",2010,1,0,,,"Kettering"
no-candidates,"Calvin Stengs","Eredivisie",2016,1,0,,,""
no-candidates,"Camel Meriem","UEFA Europa League",2002,4,0,,,""
no-candidates,"Camel Meriem","UEFA Europa League",2003,9,1,,,""
no-candidates,"Camel Meriem","UEFA Europa League",2005,6,0,,,""
unknown-club,"Cameron Puertas","Saudi Pro League",2024,32,3,,,"Al-Qadsiah"
no-candidates,"Cani","UEFA Europa League",2004,9,0,,,""
no-candidates,"Cani","UEFA Europa League",2007,5,1,,,""
no-candidates,"Carles Puyol","UEFA Europa League",2000,2,0,,,""
no-candidates,"Carles Puyol","UEFA Europa League",2003,7,0,,,""
no-candidates,"Carlos Cuéllar","UEFA Europa League",2005,2,0,,,""
no-candidates,"Carlos Cuéllar","UEFA Europa League",2006,7,1,,,""
no-candidates,"Carlos Cuéllar","UEFA Europa League",2007,9,0,,,""
no-candidates,"Carlos Cuéllar","UEFA Europa League",2008,6,0,,,""
no-candidates,"Carlos Cuéllar","Championship",2014,8,0,,,""
no-candidates,"Carlos Marchena","Primeira Liga",2000,20,2,,,""
no-candidates,"Carlos Marchena","UEFA Europa League",2001,5,0,,,""
no-candidates,"Carlos Marchena","UEFA Europa League",2003,8,0,,,""
no-candidates,"Carlos Marchena","UEFA Europa League",2004,1,0,,,""
no-candidates,"Carlos Marchena","UEFA Europa League",2008,7,1,,,""
no-candidates,"Carlos Sánchez","Championship",2020,9,0,,,""
no-candidates,"Carlos Tevez","UEFA Europa League",2006,2,0,,,""
ambiguous,"Carlos Vinícius","Primeira Liga",2018,14,8,,,"Real SC | Rio Ave"
ambiguous,"Cédric Soares","Primeira Liga",2011,24,0,,,"Sporting | Coimbra"
ambiguous,"Cengiz Ünder","Süper Lig",2016,32,7,,,"Altinordu | Basaksehir"
ambiguous,"Cengiz Ünder","Süper Lig",2025,26,5,,,"Fenerbahçe | Besiktas"
unknown-club,"Cenk Tosun","Süper Lig",2010,14,10,,,"Gaziantepspor"
unknown-club,"Cenk Tosun","Süper Lig",2011,32,6,,,"Gaziantepspor"
